,hotel_name,hotel_review,tokened_review,cleaned_review
13,호텔 퍼스트70 호텔,"좋았던 점
 · 서귀포 올레시장과 이중섭 거리와 인접해 있어 위치적으로 만족했습니다. 조식은 신청하지 않아 평가가 어렵습니다. .그 외 객실의 침구나 청소 상태는 좋은 편입니다. 가성비 만족입니다.
아쉬웠던 점
 · 아쉬운점은 로비에 쉴 수 있는 소파가 부족하고 분위기가 어수선했습니다.복도가 습한 느낌었고 3박이상 제공되는 세탁실은 관리가 제대로 되어 있지 않아 사용하기가 어려웠습니다","['서귀포', '레시', '이중섭', '거리', '인접', '위치', '만족하다', '조식', '신청', '평가', '어렵다', '객실', '침구', '청소', '상태', '편입', '가성', '만족', '로비', '쉬다', '소파', '부족하다', '분위기', '어수선하다', '복도', '습하다', '느끼다', '박이상', '제공', '세탁실', '관리', '제대로', '되어다', '사용', '어렵다']",서귀포 레시 이중섭 거리 인접 위치 만족하다 조식 신청 평가 어렵다 객실 침구 청소 상태 편입 가성 만족 로비 쉬다 소파 부족하다 분위기 어수선하다 복도 습하다 느끼다 박이상 제공 세탁실 관리 제대로 되어다 사용 어렵다
14,호텔 퍼스트70 호텔,"좋았던 점
 · 올레시장과 위치도 가깝고 시내에 있어서 편리했어요 객실도 깨끗하고 가격대비 조아요~","['레시', '위치', '가깝다', '시내', '편리하다', '객실', '깨끗하다', '가격', '대비']",레시 위치 가깝다 시내 편리하다 객실 깨끗하다 가격 대비
15,호텔 퍼스트70 호텔,"좋았던 점
 · 지하에 편의점이 있어 매우 편리함
아쉬웠던 점
 · 주차공간이 다소 좁다","['지하', '편의점', '편리하다', '주차공간', '좁다']",지하 편의점 편리하다 주차공간 좁다
16,호텔 퍼스트70 호텔,"좋았던 점
 · 욕조까지 있어서 넘 좋았어요 청결했구요 친절했구요 만족스러웠어요 바다뷰가 보이는곳으로 예약을 했는데 바다까지는 조금 거리가 그래도 만족하고 돌아왔네요
아쉬웠던 점
 · 칫솔 치약은 챙겨가야 된다는점이 좀 .. 나머지는 다 좋았어요","['욕조', '넘다', '청결하다', '친절하다', '만족스럽다', '바다', '보이다', '예약', '바다', '거리', '만족하다', '돌아오다', '칫솔', '치약', '챙기다', '나머지']",욕조 넘다 청결하다 친절하다 만족스럽다 바다 보이다 예약 바다 거리 만족하다 돌아오다 칫솔 치약 챙기다 나머지
17,호텔 퍼스트70 호텔,"좋았던 점
 · 분위기가 좋아요 바다가 보여서 좋았습니다~
아쉬웠던 점
 · 조명이 어두워요","['분위기', '바다', '조명', '어둡다']",분위기 바다 조명 어둡다
18,호텔 퍼스트70 호텔,"좋았던 점
 · 모기약 미리 뿌려달랬더니 다 뿌려놓으시고 정말 감사했습니다
아쉬웠던 점
 · 커피포트가 없어요","['기약', '미리', '뿌리다', '달래다', '뿌리다', '정말', '감사하다', '커피포트']",기약 미리 뿌리다 달래다 뿌리다 정말 감사하다 커피포트
19,호텔 퍼스트70 호텔,"좋았던 점
 · 4만 5천원으로 패밀리 룸 사용하는 게 쉽지 않은데 저렴하게 호캉스하고 좋네요. 하늘정원에서 바라보는 섬 풍경도 너무 좋고, 엘리베이터가 네 개나 있어서 대기 걱정이 덜어져서 좋았어요.
아쉬웠던 점
 · 화장실이 조금 노후화되었다는 느낌이 들었으며, 화장실 용변 보는 곳의 변기에 앉으면 유리 문과 발이 부딪히기 좋은 위치여서 혼자가 아닌 가족 단위 고객이 올 때 안전사고가 의심될 수 있을 것 같습니다. 잠금 장치를 마련하거나 문 밑에 스펀지 폼 등으로 시설 보완하시는 게 좋을 것 같네요. 그리고 커피포트 사용 못한다는 소식을 프런트 체크인할 때 들었는데 사전에 미리 말씀해주셨으면...","['천원', '패밀리', '사용', '쉬다', '저렴하다', '호캉스', '하늘정원', '바라보다', '풍경', '엘리베이터', '대기', '걱정', '덜다', '화장실', '노후', '되어다', '느낌', '들다', '화장실', '용변', '변기', '앉다', '유리', '문과', '부딪히다', '위치', '가족', '단위', '고객', '오다', '안전', '사고', '의심', '잠그다', '장치', '마련', '거나', '스펀지', '시설', '보완', '커피포트', '사용', '소식', '프런트', '체크', '인하다', '들다', '사전', '미리', '말씀', '해주다']",천원 패밀리 사용 쉬다 저렴하다 호캉스 하늘정원 바라보다 풍경 엘리베이터 대기 걱정 덜다 화장실 노후 되어다 느낌 들다 화장실 용변 변기 앉다 유리 문과 부딪히다 위치 가족 단위 고객 오다 안전 사고 의심 잠그다 장치 마련 거나 스펀지 시설 보완 커피포트 사용 소식 프런트 체크 인하다 들다 사전 미리 말씀 해주다
20,호텔 퍼스트70 호텔,"좋았던 점
 · 시장이랑 가깝고 주차장도 넓어서 좋았어요 ^^
아쉬웠던 점
 · 세면도구가 따로 없어서 아쉬웠네요","['시장', '가깝다', '주차장', '넓다', '면도', '구가']",시장 가깝다 주차장 넓다 면도 구가
21,호텔 퍼스트70 호텔,"좋았던 점
 · 방도 크고 침구도 깨끗했으며 간단하게 하루 묵어가기 좋았어요. 주차장 시설도 충분히 넓구요.
추천합니다.
아쉬웠던 점
 · 청결상태는 나름 괜찮았지만 욕실의 욕조가 조금 더러웠습니다.","['방도', '크다', '침구', '깨끗하다', '간단하다', '하루', '묵다', '주차장', '시설', '충분하다', '넓다', '추천', '청결', '상태', '나름', '괜찮다', '욕실', '욕조', '더럽다']",방도 크다 침구 깨끗하다 간단하다 하루 묵다 주차장 시설 충분하다 넓다 추천 청결 상태 나름 괜찮다 욕실 욕조 더럽다
22,호텔 퍼스트70 호텔,"좋았던 점
 · 위치 
가성비 좋습니다
아쉬웠던 점
 · 화장실이
조금 노후화 되고 있습니다","['위치', '가성', '화장실', '노후']",위치 가성 화장실 노후
23,호텔 퍼스트70 호텔,"좋았던 점
 · 위치도 너무 좋았구요 방도 크고 그리고 조기맣게 바다도 보이고 직원들도 친절했습니다
아쉬웠던 점
 · 의자가 좀 낡았어요 방에 등이 모두 간접등밖에 없어 매우 어두웠어요","['위치', '방도', '크다', '바다', '보이', '직원', '친절하다', '의자', '낡다', '간접', '어둡다']",위치 방도 크다 바다 보이 직원 친절하다 의자 낡다 간접 어둡다
24,호텔 퍼스트70 호텔,"좋았던 점
 · 서귀포 시내에 위치하고 있어 이동하기 좋으며 도보로도 인근 관광지까지 걸어갈 수 있어서 좋았어요.. 시설도 깨끗하고 편안하게 쉬었습니다.
아쉬웠던 점
 · 욕조가 있는 점은 좋았으나 샤워커튼 정도는 있으면 좋겠어요.. 밖에 물이 다 튀어서 좀 불편했습니다.","['서귀포', '시내', '위치', '이동', '도보', '인근', '관광지', '걸어가다', '시설', '깨끗하다', '편안하다', '쉬다', '욕조', '샤워', '커튼', '정도', '물이', '튀어', '불편하다']",서귀포 시내 위치 이동 도보 인근 관광지 걸어가다 시설 깨끗하다 편안하다 쉬다 욕조 샤워 커튼 정도 물이 튀어 불편하다
25,호텔 퍼스트70 호텔,"좋았던 점
 · 아침식사는 간단하게 먹기 좋았고 식당 직원도 프론트 직원도 친절하셨습니다. 
하늘공원은 특별한 건 없지만 그렇다고 별로일 것도 없는데 밤에는 조명이 약해서 음식을 먹기에는 다소 불편할 수 있을 거 같아요. 
방은 깨끗한데 샤워시설이 조금 불편했어요 따로 막는 게 없어서 바닥에 물이 다 튀었습니다. 
하지만 가성비가 좋아서 서귀포에 간다면 또 이용할 거 같습니다.","['아침식사', '간단하다', '먹기', '식당', '직원', '프론트', '직원', '친절하다', '하늘', '공원', '특별하다', '별로', '조명', '약하다', '음식', '먹기', '불편하다', '깨끗하다', '샤워', '시설', '불편하다', '막다', '바닥', '물이', '튀다', '가성', '서귀포', '간다', '이용']",아침식사 간단하다 먹기 식당 직원 프론트 직원 친절하다 하늘 공원 특별하다 별로 조명 약하다 음식 먹기 불편하다 깨끗하다 샤워 시설 불편하다 막다 바닥 물이 튀다 가성 서귀포 간다 이용
26,호텔 퍼스트70 호텔,"좋았던 점
 · 청결하고 위치가 시장과 가까워 좋음. 하늘 정원 좋음.
아쉬웠던 점
 · 마지막 만족은 집에서 쓰는 습관을 충족시켜주는 것
가성비 좋고 다 좋은데 이거 하나만 설치해주세요. 비데
비데는 숙박업소의 수준을 기억을 다시가고픈 마음을 결정합니다.
어제 다녀오고 8월달 예약도 해두었는데 그전에 비데만 설치하면 감사","['청결하다', '위치', '시장', '가깝다', '하늘', '정원', '마지막', '만족', '쓰다', '습관', '충족', '가성', '설치', '해주다', '비데', '비데', '숙박업소', '수준', '기억', '고프다', '마음', '결정', '어제', '다녀오다', '월달', '예약', '두다', '비데', '설치', '감사']",청결하다 위치 시장 가깝다 하늘 정원 마지막 만족 쓰다 습관 충족 가성 설치 해주다 비데 비데 숙박업소 수준 기억 고프다 마음 결정 어제 다녀오다 월달 예약 두다 비데 설치 감사
27,호텔 퍼스트70 호텔,"좋았던 점
 · 깨끗하고 위치가좋다
아쉬웠던 점
 · 없음","['깨끗하다', '위치']",깨끗하다 위치
28,호텔 퍼스트70 호텔,"좋았던 점
 · 조식이 없었음
아쉬웠던 점
 · 숙소가 약간 골목에 있고 주변환경이 단란주점 등이었던 점. 그래도 아쉬운점보다 장점이 더 많음","['조식', '숙소', '골목', '주변', '환경', '단란주점', '장점', '많다']",조식 숙소 골목 주변 환경 단란주점 장점 많다
29,호텔 퍼스트70 호텔,"좋았던 점
 · 서귀포 올레시장과 엄청 가까워서 걸어서 이동이 가능해 좋았습니다. 또 객실의 크기도 넓은 편이었고 욕실에 기본적으로 욕조가 있어서 좋았어요! 또 주차장도 넓어서 주차하기 편리했습니다
아쉬웠던 점
 · 호텔의 위치 자체가 굉장히 옛날 모텔촌에 있어서 밤에 나가기는 조금 무서울 것 같았습니다. 또 전체적으로 객실이 너무 어두워서 화장할때 매우매우 불편했습니다. 1층에 위치한 편의점에는 없는 상품이 꽤 많아서 아쉬웠습니다.","['서귀포', '레시', '가깝다', '걸다', '이동', '가능하다', '객실', '크기', '넓다', '펴다', '욕실', '기본', '욕조', '주차장', '넓다', '주차', '편리하다', '위치', '자체', '굉장하다', '옛날', '모텔', '나가다', '무섭다', '전체', '객실', '어둡다', '화장', '불편하다', '위치', '편의점', '상품', '많다']",서귀포 레시 가깝다 걸다 이동 가능하다 객실 크기 넓다 펴다 욕실 기본 욕조 주차장 넓다 주차 편리하다 위치 자체 굉장하다 옛날 모텔 나가다 무섭다 전체 객실 어둡다 화장 불편하다 위치 편의점 상품 많다
30,호텔 퍼스트70 호텔,"좋았던 점
 · 호텔 위치가 좋습니다
가격대비 시설이 좋습니다
아쉬웠던 점
 · 욕실 및 침구류에 먼지가 있었습니다","['위치', '가격', '대비', '시설', '욕실', '침구', '먼지']",위치 가격 대비 시설 욕실 침구 먼지
31,호텔 퍼스트70 호텔,"좋았던 점
 · 숙소 위치와 편의시설이 좋았음
아쉬웠던 점
 · 다 좋았는데 아쉬운점은 침대가 너무 안좋고 불편함","['숙소', '위치', '편의', '시설', '침대', '안좋다', '불편하다']",숙소 위치 편의 시설 침대 안좋다 불편하다
32,호텔 퍼스트70 호텔,"좋았던 점
 · 가성비짱! 올레 시장이랑 가까워서 좋았어요~
아쉬웠던 점
 · 체크인하고 방에 들어가니 더워서 에어컨 파워냉방하려는데 안되네요.","['가성', '올레', '시장', '가깝다', '체크', '들어가다', '덥다', '에어컨', '파워', '냉방', '안되다']",가성 올레 시장 가깝다 체크 들어가다 덥다 에어컨 파워 냉방 안되다
33,호텔 퍼스트70 호텔,"좋았던 점
 · 위치가 좋았습니다. 주변에 식당도 많고 관광지도 가깝습니다.","['위치', '주변', '식당', '많다', '관광지', '가깝다']",위치 주변 식당 많다 관광지 가깝다
34,호텔 퍼스트70 호텔,"좋았던 점
 · 지리적위치가 서귀포메인쪽이라 좋았다
아쉬웠던 점
 · 시장주변 유흥이많아서 아쉬웠다.","['지리', '위치', '서귀포', '메인', '시장', '주변', '유흥', '많다']",지리 위치 서귀포 메인 시장 주변 유흥 많다
35,호텔 퍼스트70 호텔,"좋았던 점
 · 올레시장 도보 가능해 야식 사와서 먹기 좋구요
가성비 갑
널찍하고 청결합니다 연박했는데 잘 치워주셨어요
주위 유흥업소가 최대 단점 ㅠ
아쉬웠던 점
 · 올레시장 근처인 것은 좋은데 주위에 단란주점이 많아서 당황","['올레', '시장', '도보', '가능하다', '야식', '사오다', '먹기', '가성', '널찍하다', '청결하다', '박하다', '자다', '치우다', '주위', '유흥업소', '최대', '단점', '올레', '시장', '근처', '주위', '단란주점', '많다', '당황']",올레 시장 도보 가능하다 야식 사오다 먹기 가성 널찍하다 청결하다 박하다 자다 치우다 주위 유흥업소 최대 단점 올레 시장 근처 주위 단란주점 많다 당황
36,호텔 퍼스트70 호텔,"좋았던 점
 · 가성비가 정말 좋아요
아쉬웠던 점
 · 방음이 아쉬워요","['가성', '정말', '방음']",가성 정말 방음
37,호텔 퍼스트70 호텔,"좋았던 점
 · 가성비 좋은 호텔! 이정도 금액에 만족합니다 깔끔합니다
걸어서 주변 맛집을 애용할 수 있어서 좋습니다
아쉬웠던 점
 · 늦게 체크인하심 주차하기가 힘듭니다","['가성', '이정', '금액', '만족하다', '깔끔하다', '걸다', '주변', '맛집', '애용', '늦다', '체크', '인하', '주차', '힘드다']",가성 이정 금액 만족하다 깔끔하다 걸다 주변 맛집 애용 늦다 체크 인하 주차 힘드다
38,호텔 퍼스트70 호텔,"좋았던 점
 · 오는정 김밥 신호없는 횡단보도 두개만 건너면 있고 올레시장도 아주 가깝습니다 찾아가기도 쉽고요 시스터필드 유명빵집도 멀지않아요(차량이용) 아침엔 바다도 보여요! 변기랑 샤워세면실 따로있는것도 너무 좋앗어요 방도 따로 침대도 따로 있고 아 뷰는 통유리인줄알았는લા 중간중간 벽이 있는게 아쉬웠음 청결도도 만족하고 담날 나갔다 돌아오니 정리도 깨끗이 해주셨는લા 버릴거랑 버리면 안되는것도 기가막히게 잘 알고 치워주셧더라구요! 청소해주신분께도 감사합니당
아쉬웠던 점
 · 화장실이 깨끗한લા 냄새가 약간 났어요 열차화장실같은냄새..그거 말곤 좋았어요","['김밥', '신호', '횡단보도', '건너다', '레시', '아주', '가깝다', '찾아가다', '쉬다', '시스터', '필드', '유명', '빵집', '멀다', '차량', '이용', '아침', '바다', '보이다', '변기', '샤워', '세면실', '방도', '침대', '유리', '알다', '중간', '중간', '청결', '도도', '만족하다', '담날', '나가다', '돌아오다', '정리', '해주다', '버리다', '버리다', '안되다', '막히다', '자다', '치우다', '덥다', '청소', '해주다', '불다', '감사하다', '화장실', '깨끗하다', '냄새', '나다', '열차', '화장실', '냄새', '그거', '말다']",김밥 신호 횡단보도 건너다 레시 아주 가깝다 찾아가다 쉬다 시스터 필드 유명 빵집 멀다 차량 이용 아침 바다 보이다 변기 샤워 세면실 방도 침대 유리 알다 중간 중간 청결 도도 만족하다 담날 나가다 돌아오다 정리 해주다 버리다 버리다 안되다 막히다 자다 치우다 덥다 청소 해주다 불다 감사하다 화장실 깨끗하다 냄새 나다 열차 화장실 냄새 그거 말다
39,호텔 퍼스트70 호텔,"좋았던 점
 · 가성비에 너무 만족했습니다 무엇보다 위치가 좋아서 찾아가기 편하고 시장과도 가까워서 장 보기에도 편했습니다 다음에도 또 이용해 볼 의향이 있습니다
아쉬웠던 점
 · 벽지가 조금 지저분 했던점 말고는 객실 내부는 만족했습니다 가장 아쉬웠던 부분은 조식 먹는 식당 인테리어가 많이 안되어 있던점 말고는 없습니다","['가성', '만족하다', '위치', '찾아가다', '편하다', '시장', '가깝다', '보기', '편하다', '이용', '의향', '벽지', '객실', '내부', '만족하다', '가장', '부분', '조식', '먹다', '식당', '인테리어', '안되다']",가성 만족하다 위치 찾아가다 편하다 시장 가깝다 보기 편하다 이용 의향 벽지 객실 내부 만족하다 가장 부분 조식 먹다 식당 인테리어 안되다
40,호텔 퍼스트70 호텔,"좋았던 점
 · 아침 조식이 깔끔하게 잘 나왔어요 , 이중섭거리, 올레 시장 도보 거리고, 가성비 좋아요
아쉬웠던 점
 · 밤12:50 분에 자고 있는데 갑자기 룸 전화기로 데스크에서 전화와서 방 들어오겠다고 해서 너무 불쾌했어요 
무슨일인지 설명도 안하고 , 그시간에 들어와서 확인하고 바로 나가셨지만 , 그시간에 갑자기 울린 전화기 소리에 엄마가 놀라셔서 잠도 못주무셨어요","['아침', '조식', '깔끔하다', '자다', '나오다', '이중섭', '거리', '올레', '시장', '도보', '거리', '가성', '자고', '갑자기', '전화기', '데스크', '전화', '서다', '들어오다', '불쾌하다', '인지', '설명', '들어오다', '확인', '나가다', '갑자기', '울리다', '전화기', '소리', '엄마', '잠도', '주무시다']",아침 조식 깔끔하다 자다 나오다 이중섭 거리 올레 시장 도보 거리 가성 자고 갑자기 전화기 데스크 전화 서다 들어오다 불쾌하다 인지 설명 들어오다 확인 나가다 갑자기 울리다 전화기 소리 엄마 잠도 주무시다
41,호텔 퍼스트70 호텔,"좋았던 점
 · 조식이 맛있었어요. 또 가고 싶네요
아쉬웠던 점
 · 칫솔치약안주는게 아쉬웟어요","['조식', '맛있다', '가다', '싶다', '칫솔', '치약', '알다']",조식 맛있다 가다 싶다 칫솔 치약 알다
42,호텔 퍼스트70 호텔,"좋았던 점
 · 근처 시장이 있어서 저녁에 가족들과 나가서 맛난것도 먹고, 기념품도 사고.. 재밌었습니다.
조식도 생각보다 괜찮더군요.. 잘 먹었습니다.
먼지가 좀 많은것이 흠이긴 했지만, 비교적 깨끗하고, 편하게 하루 자고 왔습니다.
가족단위로 온 사람들도 많더군요..
아쉬웠던 점
 · 방이 좀 좁았고(3명), 먼지가 좀 많았던 것 같네요..
하지만, 뭐 하루 자고 오기에는 나쁘지 않았던것 같습니다.","['근처', '시장', '저녁', '가족', '나가다', '먹다', '기념품', '사고', '재밌다', '조식', '생각', '괜찮다', '자다', '먹다', '먼지', '많다', '이기다', '비교', '깨끗하다', '편하다', '하루', '자고', '오다', '가족', '위로', '사람', '많다', '방이', '좁다', '먼지', '많다', '하루', '자고', '오기', '나쁘다']",근처 시장 저녁 가족 나가다 먹다 기념품 사고 재밌다 조식 생각 괜찮다 자다 먹다 먼지 많다 이기다 비교 깨끗하다 편하다 하루 자고 오다 가족 위로 사람 많다 방이 좁다 먼지 많다 하루 자고 오기 나쁘다
43,호텔 퍼스트70 호텔,"좋았던 점
 · 주차장 편리하고 1층에 편의점있어서 편했어요~
이중섭거리 올레시장이랑 멀지않아서 좋았어요~
아쉬웠던 점
 · 에어컨이 자주꺼졌어요","['주차장', '편리하다', '편의점', '편하다', '이중섭', '거리', '레시', '멀다', '에어컨', '자주', '꺼지다']",주차장 편리하다 편의점 편하다 이중섭 거리 레시 멀다 에어컨 자주 꺼지다
44,호텔 퍼스트70 호텔,"좋았던 점
 · 위치 최고 ㅋㅋㅋ 올레시장 . 오는정김밥이랑도 가까웠어요
마루바닥이라 깔끔해서 좋았구요. 1층에 편의점 있어서 편리했네요. 욕실도 깨끗했어요 ㅋ 넓고
아쉬웠던 점
 · 그 동네자체가 벌레가 많은건지 ...에프킬러있고 방충망 닫아달라고 적혀있더라구요 .손님들이 잘 지키지 않는건지 .. 에프킬라 뿌리고 잤습니당 !!
뜨거운물 안틀면 수압이 너무 낮아요 ㅜ","['위치', '올레', '시장', '김밥', '가깝다', '마루', '바닥', '깔끔하다', '편의점', '편리하다', '욕실', '깨끗하다', '넓다', '자체', '벌레', '많다', '건지다', '에프', '킬러', '방충', '닫다', '달라', '적히다', '손님', '자다', '지키다', '건지다', '에프킬라', '뿌리', '자다', '뜨겁다', '틀다', '수압', '낮다']",위치 올레 시장 김밥 가깝다 마루 바닥 깔끔하다 편의점 편리하다 욕실 깨끗하다 넓다 자체 벌레 많다 건지다 에프 킬러 방충 닫다 달라 적히다 손님 자다 지키다 건지다 에프킬라 뿌리 자다 뜨겁다 틀다 수압 낮다
45,호텔 퍼스트70 호텔,"좋았던 점
 · 위치가 이중섭거리쪽인데 버스정류장이랑 걸어서 10분정도로 괜찮습니다
시설도 나쁘지않고 직원분들이 매우 친절합니다
아쉬웠던 점
 · 3박 신청했는데 2박후 3번째 밤에 카드키로 객실이 열리지않더라구요
3박부터는 다시 프론트에서 등록해야된대요","['위치', '이중섭', '거리', '버스정류장', '걸다', '정도', '괜찮다', '시설', '나쁘다', '직원', '친절하다', '신청', '박후', '카드', '객실', '리지', '프론트', '등록', '대요']",위치 이중섭 거리 버스정류장 걸다 정도 괜찮다 시설 나쁘다 직원 친절하다 신청 박후 카드 객실 리지 프론트 등록 대요
46,호텔 퍼스트70 호텔,"좋았던 점
 · 대체적으로좋았어요
객실도넓고 ~
아쉬웠던 점
 · 아침 따뜻한커피못마셔서
아쉬웠어요
편의점에서두
커피는찾을수가없구요~","['체적', '객실', '넓다', '아침', '따뜻하다', '커피', '마시다', '편의점', '서두', '커피', '찾다']",체적 객실 넓다 아침 따뜻하다 커피 마시다 편의점 서두 커피 찾다
47,호텔 퍼스트70 호텔,"좋았던 점
 · 위치, 가성비 모두 좋았습니다.
아쉬웠던 점
 · 화장실 샤워 커튼이 없는 점, 샤워기의 물이 욕조를 타고 바닥으로 흘러내려 바닥이 젖습니다.","['위치', '가성', '화장실', '샤워', '커튼', '샤워', '물이', '욕조', '타고', '바닥', '흘러내리다', '바닥', '젖다']",위치 가성 화장실 샤워 커튼 샤워 물이 욕조 타고 바닥 흘러내리다 바닥 젖다
48,호텔 퍼스트70 호텔,"좋았던 점
 · 만족한 하루 숙박","['만족하다', '하루', '숙박']",만족하다 하루 숙박
49,호텔 퍼스트70 호텔,"좋았던 점
 · 직원분들이 상당히 친절합니다. 서귀포 시내위치로 주변 식당이 많습니다.
아쉬웠던 점
 · 룸 유지보수나 청결부분에 신경을 썼으면 좋겠습니다.","['직원', '상당하다', '친절하다', '서귀포', '위치', '주변', '식당', '많다', '유지', '보수', '청결', '부분', '신경', '써다']",직원 상당하다 친절하다 서귀포 위치 주변 식당 많다 유지 보수 청결 부분 신경 써다
50,호텔 퍼스트70 호텔,"좋았던 점
 · 로케이션 좋고 방 깨끗 침구 깨끗","['로케이션', '깨끗', '침구', '깨끗']",로케이션 깨끗 침구 깨끗
